Column1;Column2
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, vol. 9, iss. 1 s. 132-136 - tab. - Summ. - Bibliogr. 34 poz.
Moscow : Russian State Social University, 2019;S. 103-111 - summ., tab. - Bibliogr. 24 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 383 s. 108-122 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.
Koprivnica : University North, 2019;516 s.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;163 s.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;178 s. : rys., tab.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;"1101 s. ; Bibliogr. przy rozdz."
Moscow : Russian State Social University, 2019;2019, nr 382 s. 80-90 - rys., tab. - Streszcz., summ. - Bibliogr. 25 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 6 s. 2-10 - rys. - Streszcz., summ. - Bibliogr. 36 poz.
Koprivnica : University North, 2019;2019, nr 382 s. 64-79 - rys., tab. - Streszcz., summ. - Bibliogr. 38 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, nr 382 s. 133-142 - Streszcz., summ. - Bibliogr. 38 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 382 s. 123-132 - tab. - Streszcz., summ. - Bibliogr. 18 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, nr 5 s. 25-31 - Summ. - Bibliogr. 33 poz.
Moscow : Russian State Social University, 2019;2019, nr 382 s. 24-37 - Streszcz., summ. - Bibliogr. 17 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 53, no. 2 s. 67-77 - rys. - Summ. - Bibliogr. 30 poz.
Koprivnica : University North, 2019;2019, No. 20 s. 87-102 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019 s. 230-241 - rys., tab. - Summ. - Bibliogr. 14 poz.
Sofia : STEF92 Technology, 2019;2019, t. 20, nr 2 s. 57-72 - rys., tab. - Streszcz., summ. - Bibliogr. 43 poz.
Warszawa : CeDeWu, 2019;2019 s. 29-40 - rys. - Summ. - Bibliogr. 16 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 390 s. 91-104 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, No. 20 s. 23-37 - Streszcz., summ. - Bibliogr. 43 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;182 s. : rys., tab., Bibliogr. 257 poz., s. 169-178
Moscow : Russian State Social University, 2019;2019, vol. 14, no. 2 s. 389-403 - tab. - Summ. - Bibliogr. 38 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;138 s. : rys., tab.
Koprivnica : University North, 2019;2019, vol. 11 s. 40-52 - rys., tab. - Bibliogr. 78 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, nr 390 s. 125-138 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.
Warszawa : Wydawnictwo Placet, 2019;2019, nr 390 s. 105-124 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.
Warszawa : Wydawnictwo Placet, 2019;167 s. : rys., tab., Bibliogr. po art.
Warszawa : Wydawnictwo Placet, 2019;2019, vol. 61, num. 4 s. 3-16 - Resumen, resum, summ. - Bibliogr. 25 poz.
Warszawa : Wydawnictwo Placet, 2019;2019, vol. 11, iss. 3 s. 117-131 - rys., tab. - Summ. - Bibliogr. 64 poz.
Granada : International Business Information Management Association (IBIMA), 2019;2019, nr 390 s. 7-17 - rys., tab. - Streszcz., summ. - Bibliogr. 14 poz.
Granada : International Business Information Management Association (IBIMA), 2019;2019, vol. 11, iss. 3 s. 48-59 - rys., tab. - Summ. - Bibliogr. 70 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, nr 390 s. 44-59 - rys., tab. - Streszcz., summ. - Bibliogr. 21 poz.
Warszawa : Difin, 2019;S. 14-15
Warszawa : Difin, 2019;2019, vol. 55, iss. 2 s. 118-126 - rys., tab. - Summ. - Bibliogr. 35 poz.
Warszawa : Difin, 2019;S. 185-211
Warszawa : Difin, 2019;S. 65-75 - tab.
Granada : International Business Information Management Association (IBIMA), 2019;2019, nr 381 s. 102-119 - rys., tab. - Streszcz., summ. - Bibliogr. 18 poz.
Warszawa : Difin, 2019;2019, vol. 7, no. 3 s. 65-82 - rys., tab. - Summ. - Bibliogr. 42 poz.
Granada : International Business Information Management Association (IBIMA), 2019;S. 15-36 - rys., tab.
Sofia : STEF92 Technology, 2019;2019, t. 104 (160) s. 85-102 - tab. - Streszcz., summ. - Bibliogr. 68 poz.
Warszawa : Difin, 2019;S. 8417-8423 - Bibliogr. 34 poz.
Warszawa : Difin, 2019;S. 492-496 - summ., tab. - Bibliogr. 8 poz.
Warszawa : Wydawnictwo Placet, 2019;S. 122-133
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, vol. 57 s. 191-203 - Summ. - Bibliogr. 23 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 165-194 - rys., tab.
Katowice : Publishing House of the University of Economics in Katowice, 2019;S. 7355-7365 - rys., summ. - Bibliogr. 46 poz.
Brno : Masaryk University, 2019;272 s. : rys., tab., Bibliogr. 293 poz., s. 254-269
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 2517-2526 - rys., tab. - Bibliogr. 33 poz.
Baku : Azerbaijan State University of Economics (UNEC), 2019;S. 279-287
Koprivnica : University North, 2019;S. 383-392 - tab., summ. - Bibliogr. 10 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;S. 72-97 - rys., tab.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, vol. 67, no. 5 s. 1309-1323 - rys., tab. - Summ. - Bibliogr. 46 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 19-36
Baku : Azerbaijan State University of Economics (UNEC), 2019;S. 231-255 - tab.
Koprivnica : University North, 2019;2019, nr 31 s. 100-117 - rys., tab. - Streszcz., summ. - Bibliogr. 38 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 9 s. 2-8 - Streszcz., summ. - Bibliogr. 23 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, t. 20, z. 12, cz. 1 s. 199-212 - Streszcz., summ. - Bibliogr. 27 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, t. 20, z. 12, cz. 1 s. 141-156 - tab. - Streszcz., summ. - Bibliogr. 30 poz.
Cham : Springer, 2019;S. 177-188 - rys., summ., tab. - Bibliogr. 32 poz.
Cham : Springer, 2019;2019, vol. 21, no. 4 s. 13-18 - tab. - Summ. - Bibliogr. 21 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, vol. 24, iss. 6 s. 748-766 - Summ. - Bibliogr. 156 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 165-176 - rys., summ., tab. - Bibliogr. 22 poz.
Cham : Springer, 2019;S. 39-50 - rys., summ., tab. - Bibliogr. 21 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, No. 2 (69) s. 146-159 - rys., tab. - summ. - Bibliogr. 38 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, No. 2 (69) s. 42-57 - rys., tab. - Summ. - Bibliogr. 77 poz.
Cham : Springer, 2019;2019, z. 273/274 s. 97-121 - rys., tab. - Summ. - Bibliogr. 11 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, z. 273/274 s. 84-96 - tab. - Summ. - Bibliogr. 15 poz.
Koprivnica : University North, 2019;2019, z. 273/274 s. 223-237 - tab. - Summ. - Bibliogr. 28 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, t. 20, z. 12, cz. 1 s. 259-272 - Streszcz., summ. - Bibliogr. 36 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, z. 273/274 s. 122-132 - rys. - Summ. - Bibliogr. 15 poz.
Cham : Springer, 2019;2019, z. 273/274 s. 238-249 - rys., tab. - Summ. - Bibliogr. 14 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, nr 4 (54) s. 19-28 - rys., tab. - Streszcz., summ. - Biblogr. 16 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;"97 s. ; Bibliogr. przy rozdz."
Koprivnica : University North, 2019;S. 75-85 - Bibliogr. 25 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 11, iss. 20 (5821) 21 s. - tab. - Summ. - Bibliogr. 104 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, vol. 63, nr 2 s. 16-24 - rys. - Streszcz., summ. - Bibliogr. 17 poz.
Cham : Springer, 2019;S. 5-16 - Summ. - Bibliogr. 14 poz.
Cham : Springer, 2019;2019, vol. 11, iss. 19 (5207) 23 s. - rys., tab. - Summ. - Bibliogr. 107 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;"663 s. : rys., tab. ; Bibliogr. przy rozdz."
Lublin : Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej, 2019;2019, vol. 123, iss. 10 s. 906-911 - rys., tab. - Summ. - Bibliogr. 21 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;1610 s.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, vol. 63, nr 7 s. 25-34 - Streszcz., summ. - Bibliogr. 32 poz.
Cham : Springer, 2019;S. 1543-1548 - summ., tab. - Bibliogr. 10 poz.
Warszawa : Wydawnictwo SGGW, 2019;S. 13-24
Warszawa : Wydawnictwo SGGW, 2019;"144 s. ; rys., tab., Bibliogr. po art."
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 163-177 - rys., tab. - Bibliogr. 36 poz.
Warszawa : Wydawnictwo SGGW, 2019;282 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 27-28
Warszawa : Wydawnictwo SGGW, 2019;2019, z. 176 s. 137-153 - rys., tab. - Streszcz., summ. - Bibliogr. 58 poz.
Warszawa : Wydawnictwo SGGW, 2019;2019, vol. 14 s. 29-43 - rys., tab. - Summ. - Bibliogr. 14 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 276-285 - Bibliogr. 35 poz.
Warszawa : Wydawnictwo SGGW, 2019;"135 s. ; Bibliogr. po rozdz."
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, vol. 11, iss. 11 (3086) 15 s. - rys., tab. - Summ. - Bibliogr. 58 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 231-240 - rys., tab. - Bibliogr. 13 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;214 s.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;"1390 s. ; Bibliogr. przy rozdz."
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 19-20
Warszawa : Polskie Wydawnictwo Ekonomiczne, 2019;S. 18
Kraków : Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie, 2019;S. 76-92 - streszcz., summ. - Bibliogr. 63 poz.
Warszawa : Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie, 2019;S. 732-750 - Bibliogr. 29 poz.
Cham : Springer International Publishing, 2019;S. 115-126 - rys., tab. - Bibliogr. 11 poz.
Wroc³aw : Presscom, 2019;2019, nr 2 (52) s. 41-57 - rys., tab. - Streszcz., summ. - Bibliogr. 51 poz.
Cham : Springer International Publishing, 2019;261 s.
Kraków : Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie, 2019;2019, vol. 11, iss. 11 24 s. (3090) - tab. - Summ. - Bibliogr. 102 s.
Warszawa : Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie, 2019;2019, vol. 4, iss. 1 s. 35-40 - rys., tab. - Summ. - Bibliogr. 16 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;"176 s. ; Bibliogr. przy rozdz."
Warsaw : Faculty of Management University of Warsaw, 2019;S. 9-24 - rys., tab. - Bibliogr. 21 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 129-139 - rys., streszcz., summ., tab. - Bibliogr. 17 poz.
£ódŸ : Wydawnictwo Uniwersytetu £ódzkiego, 2019;204 s.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 107-118
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 191-204
Koprivnica : University North, 2019;S. 68-79 - Bibliogr. 12 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 63, nr 7 s. 217-229 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, vol. 24, iss. 1 s. 155-177 - Bibliogr. 70 poz.
Warszawa : Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych, 2019;2019, t. 66, z. 1 s. 84-93 - tab. - Streszcz., summ. - Bibliogr. 15 poz.
Warszawa : Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych, 2019;2019, Vol. 24 Issue: 3 s. 334-354 - rys., tab., za³. - Summ. - Bibliogr. 155 poz.
"Warszawa : Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar, 2019";S. 248
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 9-24
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 63, nr 7 s. 58-70 - tab. - Streszcz., summ. - Bibliogr. 31 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, nr 5 s. 21-27 - tab. - Streszcz., summ. - Bibliogr. 52 poz.
Reading : Academic Conferences and Publishing International Limited, 2019;2019, vol. 63, nr 7 s. 172-183 - Streszcz., summ. - Bibliogr. 29 poz.
Czêstochowa : Publishing Office of Czestochowa University of Technology, 2019;S. 144-155 - Bibliogr. 26 poz.
Lublin : Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej, 2019;S. 156-174 - fot. - Bibliogr. 28 poz.
"Warszawa : Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar, 2019";2019, no. 139 s. 607-619 - rys., tab. - Summ. - Bibliogr. 17 poz.
Radom : Wydawnictwo Naukowe Instytutu Technologii Eksploatacji Pañstwowego Instytutu Badawczego, 2019;2019, vol. 6 (345) s. 111-125 - rys., tab. - Streszcz., summ. - Bibliogr. 17 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, nr 1 (25) s. 49-63 - Streszcz., summ. - Bibliogr. 12 poz.
Belgrade : Megatrend University, 2019;"481 s. ; bibliogr. przy rozdz."
Koprivnica : University North, 2019;2019, nr 1 (25) s. 65-85 - rys., tab. - Streszcz., summ. - Bibliogr. 54 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 16, iss. 1 s. 91-97 - rys., tab. - Summ. - Bibliogr. 12 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, vol. 16, iss. 1 s. 137-147 - rys., tab. - Summ. - Bibliogr. 39 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;"266 s. : rys., tab. ; Bibliogr. przy rozdz."
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;298 s. : tab., Bibliogr. 547 poz., s. 241-277
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 1 (51) s. 193-206 - Streszcz., summ. - Bibliogr. 31 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 61-74 - Bibliogr. 46 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 245-252 - streszcz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 2 (52) s. 97-108 - Streszcz., summ. - Bibliogr. 20 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 5 s. 3-9 - rys., tab. - Streszcz. - Bibliogr. 35 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 153-168 - summ.
Belgrade : Megatrend University, 2019;2019, vol. 16, iss. 1 s. 70-79 - tab. - Summ. - Bibliogr. 20 poz.
Koprivnica : University North, 2019;2019, vol. 83, iss. 1 s. 50-62 - summ. - Bibliogr. 56 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;S. 151-159 - tab. - Bibliogr. 16 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 12-13
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, t. 20, z. 6/1 s. 283-301 - tab. - Summ. - Bibliogr. 41 poz.
Belgrade : Megatrend University, 2019;143 s. : tab.
Koprivnica : University North, 2019;212 s. : rys., tab., Bibliogr. 23 poz., s. 211-212
Warsaw : Faculty of Management University of Warsaw, 2019;2019, t. 20, z. 6/1 s. 79-96 - tab. - Summ. - Bibliogr. 23 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;S. 1097-1124 - rys., tab. - Bibliogr. 84 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;S. 106-114 - rys. - Bibliogr. 10 poz.
Belgrade : Megatrend University, 2019;2019, nr 1 s. 16-21 - Streszcz., summ. - Bibliogr. 14 poz.
Koprivnica : University North, 2019;2019, t. 84, nr 1 s. 33-42 - rys., tab. - Streszcz., summ. - Bibliogr. 13 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 4 (3) s. 55-64 - rys., tab. - Streszcz., summ. - Bibliogr. 33 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, t. 84, nr 1 s. 13-32 - tab. - Streszcz., summ. - Bibliogr. 31 poz.
Cham : Springer, 2019;2019, vol. 7, iss. 2 (208) 20 s. - rys., tab. - Summ. - Bibliogr. 35 poz.
Cham : Springer, 2019;2019, t. 84, nr 1 s. 63-74 - rys., tab. - Streszcz., summ. - Bibliogr. 42 poz.
Cham : Springer, 2019;"1268 s. (vol. 1 i 2) ; Bibliogr. przy rozdz."
Kielce : Laboratorium Wiedzy Artur Borcuch, 2019;2019, Vol. 15, issue 1 s. 123-146 - tab. - Streszcz., summ. - Bibliogr. 82 poz.
Kielce : Laboratorium Wiedzy Artur Borcuch, 2019;2019, t. 84, nr 1 s. 43-61 - rys., tab. - Streszcz., summ. - Bibliogr. 28 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;114 s. : rys., tab., Bibliogr. 57 poz., s. 105-107
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 1753-1755 - Bibliogr. 14 poz.
Kielce : Laboratorium Wiedzy Artur Borcuch, 2019;1913 s.
New York : Institute of Electrical and Electronics Engineers, 2019;2019, nr 34 s. 114-122 - Streszcz., summ. - Bibliogr. 19 poz.
Warszawa : Polskie Towarzystwo Informatyczne, 2019;S. 109-122 - tab.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;S. 1451-1461 - summ. - Bibliogr. 28 poz.
Kielce : Laboratorium Wiedzy Artur Borcuch, 2019;S. 947-976 - Bibliogr. 73 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, t. 20, nr 1 s. 145-157 - Streszcz., summ. - Bibliogr. 32 poz.
